viewport_frames,current_optimal_res,buffer_health_unshaped,state,playback_progress,timestamp,has_ads,ads_duration,init_time,network_estimate_kbps,network_activity,
1280x720 / 0 dropped of 1956Current /,1280x720@24 / 1280x720@24,91.96,8,81.39,1632821375.0168004,False,0,1632821286.8049903,28500,0,92.09
1280x720 / 0 dropped of 1968Current /,1280x720@24 / 1280x720@24,91.46,8,81.9,1632821375.5206695,False,0,1632821286.8049903,28500,0,91.59
1280x720 / 0 dropped of 1980Current /,1280x720@24 / 1280x720@24,90.96,8,82.4,1632821376.0300868,False,0,1632821286.8049903,28500,0,91.09
1280x720 / 0 dropped of 1992Current /,1280x720@24 / 1280x720@24,90.46,8,82.9,1632821376.5343778,False,0,1632821286.8049903,28500,0,90.58
1280x720 / 0 dropped of 2004Current /,1280x720@24 / 1280x720@24,89.96,8,83.4,1632821377.0489464,False,0,1632821286.8049903,28500,0,90.08
1280x720 / 0 dropped of 2016Current /,1280x720@24 / 1280x720@24,89.45,8,83.9,1632821377.550222,False,0,1632821286.8049903,28500,0,89.57
1280x720 / 0 dropped of 2028Current /,1280x720@24 / 1280x720@24,88.95,8,84.4,1632821378.0567915,False,0,1632821286.8049903,28500,0,89.07
1280x720 / 0 dropped of 2040Current /,1280x720@24 / 1280x720@24,88.45,8,84.9,1632821378.5643141,False,0,1632821286.8049903,28500,0,88.56
1280x720 / 0 dropped of 2052Current /,1280x720@24 / 1280x720@24,87.95,8,85.41,1632821379.0705433,False,0,1632821286.8049903,28500,0,88.06
1280x720 / 0 dropped of 2064Current /,1280x720@24 / 1280x720@24,87.45,8,85.91,1632821379.576426,False,0,1632821286.8049903,28500,0,87.56
1280x720 / 0 dropped of 2076Current /,1280x720@24 / 1280x720@24,86.95,8,86.41,1632821380.0839088,False,0,1632821286.8049903,28500,0,87.06
1280x720 / 0 dropped of 2088Current /,1280x720@24 / 1280x720@24,86.45,8,86.91,1632821380.5905342,False,0,1632821286.8049903,28500,0,86.56
1280x720 / 0 dropped of 2100Current /,1280x720@24 / 1280x720@24,85.94,8,87.41,1632821381.096686,False,0,1632821286.8049903,28500,0,86.06
1280x720 / 0 dropped of 2112Current /,1280x720@24 / 1280x720@24,85.44,8,87.91,1632821381.6044462,False,0,1632821286.8049903,28500,0,85.56
1280x720 / 0 dropped of 2124Current /,1280x720@24 / 1280x720@24,84.94,8,88.41,1632821382.1147668,False,0,1632821286.8049903,28500,0,85.05
1280x720 / 0 dropped of 2137Current /,1280x720@24 / 1280x720@24,84.44,8,88.91,1632821382.616423,False,0,1632821286.8049903,28500,0,84.55
1280x720 / 0 dropped of 2148Current /,1280x720@24 / 1280x720@24,83.94,8,89.41,1632821383.1247385,False,0,1632821286.8049903,28500,0,84.04
1280x720 / 0 dropped of 2160Current /,1280x720@24 / 1280x720@24,83.44,8,89.91,1632821383.6304553,False,0,1632821286.8049903,28500,0,83.54
1280x720 / 0 dropped of 2172Current /,1280x720@24 / 1280x720@24,82.94,8,90.41,1632821384.1391113,False,0,1632821286.8049903,28500,0,83.04
1280x720 / 0 dropped of 2184Current /,1280x720@24 / 1280x720@24,82.45,8,90.9,1632821384.6446767,False,0,1632821286.8049903,28500,0,82.54
1280x720 / 0 dropped of 2196Current /,1280x720@24 / 1280x720@24,81.95,8,91.4,1632821385.1515677,False,0,1632821286.8049903,28500,0,82.04
1280x720 / 0 dropped of 2208Current /,1280x720@24 / 1280x720@24,81.45,8,91.9,1632821385.6550503,False,0,1632821286.8049903,28500,0,81.54
1280x720 / 0 dropped of 2220Current /,1280x720@24 / 1280x720@24,80.95,8,92.4,1632821386.1653414,False,0,1632821286.8049903,28500,0,81.03
1280x720 / 0 dropped of 2232Current /,1280x720@24 / 1280x720@24,80.45,8,92.9,1632821386.6717236,False,0,1632821286.8049903,28500,0,80.53
1280x720 / 0 dropped of 2244Current /,1280x720@24 / 1280x720@24,79.95,8,93.41,1632821387.1804047,False,0,1632821286.8049903,28500,0,80.03
1280x720 / 0 dropped of 2256Current /,1280x720@24 / 1280x720@24,79.44,8,93.91,1632821387.6822183,False,0,1632821286.8049903,28500,0,79.53
1280x720 / 0 dropped of 2268Current /,1280x720@24 / 1280x720@24,78.94,8,94.41,1632821388.1930437,False,0,1632821286.8049903,28500,0,79.03
1280x720 / 0 dropped of 2280Current /,1280x720@24 / 1280x720@24,78.44,8,94.91,1632821388.698627,False,0,1632821286.8049903,28500,0,78.53
1280x720 / 0 dropped of 2292Current /,1280x720@24 / 1280x720@24,77.94,8,95.41,1632821389.2067604,False,0,1632821286.8049903,28500,0,78.01
1280x720 / 0 dropped of 2304Current /,1280x720@24 / 1280x720@24,77.44,8,95.92,1632821389.714677,False,0,1632821286.8049903,28500,0,77.49
1280x720 / 0 dropped of 2316Current /,1280x720@24 / 1280x720@24,76.94,8,96.42,1632821390.222483,False,0,1632821286.8049903,28500,0,76.99
1280x720 / 0 dropped of 2328Current /,1280x720@24 / 1280x720@24,76.43,8,96.92,1632821390.7270727,False,0,1632821286.8049903,28500,0,76.49
1280x720 / 0 dropped of 2340Current /,1280x720@24 / 1280x720@24,75.93,8,97.42,1632821391.2418978,False,0,1632821286.8049903,28500,0,75.99
1280x720 / 0 dropped of 2352Current /,1280x720@24 / 1280x720@24,75.43,8,97.92,1632821391.7423902,False,0,1632821286.8049903,28500,0,75.49
1280x720 / 0 dropped of 2364Current /,1280x720@24 / 1280x720@24,74.93,8,98.43,1632821392.2562497,False,0,1632821286.8049903,28500,0,74.99
1280x720 / 0 dropped of 2376Current /,1280x720@24 / 1280x720@24,74.43,8,98.93,1632821392.7579978,False,0,1632821286.8049903,28500,0,74.49
1280x720 / 0 dropped of 2388Current /,1280x720@24 / 1280x720@24,73.92,8,99.43,1632821393.264376,False,0,1632821286.8049903,28500,0,73.99
1280x720 / 0 dropped of 2400Current /,1280x720@24 / 1280x720@24,73.42,8,99.93,1632821393.7712238,False,0,1632821286.8049903,28500,0,73.49
1280x720 / 0 dropped of 2412Current /,1280x720@24 / 1280x720@24,72.92,8,100.43,1632821394.2784612,False,0,1632821286.8049903,28500,0,72.99
1280x720 / 0 dropped of 2425Current /,1280x720@24 / 1280x720@24,72.42,8,100.93,1632821394.7819908,False,0,1632821286.8049903,28500,0,72.49
1280x720 / 0 dropped of 2437Current /,1280x720@24 / 1280x720@24,71.92,8,101.44,1632821395.2993395,False,0,1632821286.8049903,28500,0,71.99
1280x720 / 0 dropped of 2449Current /,1280x720@24 / 1280x720@24,71.42,8,101.94,1632821395.7978363,False,0,1632821286.8049903,28500,0,71.49
1280x720 / 0 dropped of 2461Current /,1280x720@24 / 1280x720@24,70.92,8,102.44,1632821396.3038435,False,0,1632821286.8049903,28500,0,70.98
1280x720 / 0 dropped of 2473Current /,1280x720@24 / 1280x720@24,70.41,8,102.94,1632821396.810335,False,0,1632821286.8049903,28500,0,70.48
1280x720 / 0 dropped of 2485Current /,1280x720@24 / 1280x720@24,69.91,8,103.44,1632821397.324774,False,0,1632821286.8049903,28500,0,69.98
1280x720 / 0 dropped of 2497Current /,1280x720@24 / 1280x720@24,69.41,8,103.94,1632821397.8266525,False,0,1632821286.8049903,28500,0,69.48
1280x720 / 0 dropped of 2509Current /,1280x720@24 / 1280x720@24,68.91,8,104.45,1632821398.3327787,False,0,1632821286.8049903,28500,0,68.97
1280x720 / 0 dropped of 2521Current /,1280x720@24 / 1280x720@24,68.41,8,104.95,1632821398.845097,False,0,1632821286.8049903,28500,0,68.47
1280x720 / 0 dropped of 2533Current /,1280x720@24 / 1280x720@24,67.91,8,105.45,1632821399.349724,False,0,1632821286.8049903,28500,0,67.96
1280x720 / 0 dropped of 2545Current /,1280x720@24 / 1280x720@24,67.41,8,105.95,1632821399.8544033,False,0,1632821286.8049903,28500,0,67.45
1280x720 / 0 dropped of 2557Current /,1280x720@24 / 1280x720@24,66.91,8,106.45,1632821400.3607385,False,0,1632821286.8049903,28500,0,66.95
1280x720 / 0 dropped of 2569Current /,1280x720@24 / 1280x720@24,66.4,8,106.95,1632821400.866222,False,0,1632821286.8049903,28500,0,66.45
1280x720 / 0 dropped of 2581Current /,1280x720@24 / 1280x720@24,65.9,8,107.45,1632821401.37772,False,0,1632821286.8049903,28500,0,65.94
1280x720 / 0 dropped of 2593Current /,1280x720@24 / 1280x720@24,65.4,8,107.95,1632821401.881891,False,0,1632821286.8049903,28500,0,65.44
1280x720 / 0 dropped of 2605Current /,1280x720@24 / 1280x720@24,64.9,8,108.46,1632821402.38889,False,0,1632821286.8049903,28500,0,64.93
1280x720 / 0 dropped of 2617Current /,1280x720@24 / 1280x720@24,64.4,8,108.96,1632821402.897595,False,0,1632821286.8049903,28500,0,64.42
1280x720 / 0 dropped of 2629Current /,1280x720@24 / 1280x720@24,63.9,8,109.46,1632821403.4040375,False,0,1632821286.8049903,28500,0,63.92
1280x720 / 0 dropped of 2641Current /,1280x720@24 / 1280x720@24,63.4,8,109.96,1632821403.9116788,False,0,1632821286.8049903,28500,0,63.39
1280x720 / 0 dropped of 2653Current /,1280x720@24 / 1280x720@24,62.9,8,110.46,1632821404.4267464,False,0,1632821286.8049903,28500,0,62.89
1280x720 / 0 dropped of 2665Current /,1280x720@24 / 1280x720@24,62.4,8,110.96,1632821404.9259064,False,0,1632821286.8049903,28500,0,62.37
1280x720 / 0 dropped of 2677Current /,1280x720@24 / 1280x720@24,61.9,8,111.46,1632821405.4375286,False,0,1632821286.8049903,28500,0,61.87
1280x720 / 0 dropped of 2689Current /,1280x720@24 / 1280x720@24,61.4,8,111.95,1632821405.9389582,False,0,1632821286.8049903,28500,0,61.37
1280x720 / 0 dropped of 2701Current /,1280x720@24 / 1280x720@24,60.9,8,112.45,1632821406.453415,False,0,1632821286.8049903,28500,0,60.37
1280x720 / 0 dropped of 2713Current /,1280x720@24 / 1280x720@24,60.4,8,112.96,1632821406.9515967,False,0,1632821286.8049903,28500,0,59.87
1280x720 / 0 dropped of 2725Current /,1280x720@24 / 1280x720@24,59.9,8,113.46,1632821407.464833,False,0,1632821286.8049903,28500,0,59.37
1280x720 / 0 dropped of 2737Current /,1280x720@24 / 1280x720@24,59.4,8,113.96,1632821407.9665308,False,0,1632821286.8049903,28500,0,58.86
1280x720 / 0 dropped of 2749Current /,1280x720@24 / 1280x720@24,58.9,8,114.45,1632821408.4827816,False,0,1632821286.8049903,28500,0,58.36
1280x720 / 0 dropped of 2761Current /,1280x720@24 / 1280x720@24,58.4,8,114.95,1632821408.9836931,False,0,1632821286.8049903,28500,0,57.85
1280x720 / 0 dropped of 2773Current /,1280x720@24 / 1280x720@24,57.9,8,115.45,1632821409.4908617,False,0,1632821286.8049903,28500,0,57.35
1280x720 / 0 dropped of 2785Current /,1280x720@24 / 1280x720@24,57.4,8,115.95,1632821409.9972565,False,0,1632821286.8049903,28500,0,56.84
1280x720 / 0 dropped of 2809Current /,1280x720@24 / 1280x720@24,56.4,8,116.95,1632821410.520514,False,0,1632821286.8049903,28500,0,56.34
1280x720 / 0 dropped of 2820Current /,1280x720@24 / 1280x720@24,55.9,8,117.45,1632821411.0200908,False,0,1632821286.8049903,28500,0,55.84
1280x720 / 0 dropped of 2833Current /,1280x720@24 / 1280x720@24,55.41,8,117.94,1632821411.5181203,False,0,1632821286.8049903,28500,0,55.34
1280x720 / 0 dropped of 2844Current /,1280x720@24 / 1280x720@24,54.91,8,118.44,1632821412.022528,False,0,1632821286.8049903,28500,0,54.84
1280x720 / 0 dropped of 2856Current /,1280x720@24 / 1280x720@24,54.41,8,118.94,1632821412.5309758,False,0,1632821286.8049903,28500,0,54.34
1280x720 / 0 dropped of 2868Current /,1280x720@24 / 1280x720@24,53.92,8,119.43,1632821413.0372171,False,0,1632821286.8049903,28500,0,53.82
1280x720 / 0 dropped of 2880Current /,1280x720@24 / 1280x720@24,53.42,8,119.93,1632821413.5447922,False,0,1632821286.8049903,28500,0,53.32
1280x720 / 0 dropped of 2892Current /,1280x720@24 / 1280x720@24,52.92,8,120.43,1632821414.0492961,False,0,1632821286.8049903,28500,0,52.82
1280x720 / 0 dropped of 2904Current /,1280x720@24 / 1280x720@24,52.42,8,120.93,1632821414.5558603,False,0,1632821286.8049903,28500,0,52.32
1280x720 / 0 dropped of 2916Current /,1280x720@24 / 1280x720@24,51.92,8,121.43,1632821415.0770595,False,0,1632821286.8049903,28500,0,51.82
1280x720 / 0 dropped of 2928Current /,1280x720@24 / 1280x720@24,51.43,8,121.92,1632821415.581537,False,0,1632821286.8049903,28500,0,51.3
1280x720 / 0 dropped of 2940Current /,1280x720@24 / 1280x720@24,50.93,8,122.42,1632821416.0764828,False,0,1632821286.8049903,28500,0,50.8
1280x720 / 0 dropped of 2951Current /,1280x720@24 / 1280x720@24,50.44,8,122.91,1632821416.5839005,False,0,1632821286.8049903,28500,0,50.3
1280x720 / 0 dropped of 2963Current /,1280x720@24 / 1280x720@24,49.94,8,123.41,1632821417.0897539,False,0,1632821286.8049903,28500,0,49.79
1280x720 / 0 dropped of 2975Current /,1280x720@24 / 1280x720@24,49.43,8,123.92,1632821417.5963218,False,0,1632821286.8049903,28500,0,49.29
1280x720 / 0 dropped of 2987Current /,1280x720@24 / 1280x720@24,48.93,8,124.41,1632821418.1038823,False,0,1632821286.8049903,28500,0,48.77
1280x720 / 0 dropped of 2999Current /,1280x720@24 / 1280x720@24,48.43,8,124.92,1632821418.6091225,False,0,1632821286.8049903,28500,0,48.27
1280x720 / 0 dropped of 3012Current /,1280x720@24 / 1280x720@24,47.93,8,125.42,1632821419.1144912,False,0,1632821286.8049903,28500,0,47.77
1280x720 / 0 dropped of 3024Current /,1280x720@24 / 1280x720@24,47.43,8,125.91,1632821419.6233885,False,0,1632821286.8049903,28500,0,47.26
1280x720 / 0 dropped of 3036Current /,1280x720@24 / 1280x720@24,46.93,8,126.42,1632821420.129898,False,0,1632821286.8049903,28500,0,46.75
1280x720 / 0 dropped of 3048Current /,1280x720@24 / 1280x720@24,46.43,8,126.92,1632821420.63653,False,0,1632821286.8049903,28500,0,46.25
1280x720 / 0 dropped of 3060Current /,1280x720@24 / 1280x720@24,45.93,8,127.42,1632821421.14825,False,0,1632821286.8049903,28500,0,45.75
1280x720 / 0 dropped of 3072Current /,1280x720@24 / 1280x720@24,45.43,8,127.92,1632821421.6525369,False,0,1632821286.8049903,28500,0,45.25
1280x720 / 0 dropped of 3084Current /,1280x720@24 / 1280x720@24,44.92,8,128.42,1632821422.1560502,False,0,1632821286.8049903,28500,0,44.75
1280x720 / 0 dropped of 3096Current /,1280x720@24 / 1280x720@24,44.42,8,128.93,1632821422.6635659,False,0,1632821286.8049903,28500,0,44.25
1280x720 / 0 dropped of 3108Current /,1280x720@24 / 1280x720@24,43.92,8,129.43,1632821423.1685646,False,0,1632821286.8049903,28500,0,43.72
1280x720 / 0 dropped of 3120Current /,1280x720@24 / 1280x720@24,43.42,8,129.93,1632821423.6784716,False,0,1632821286.8049903,28500,0,43.22
1280x720 / 0 dropped of 3132Current /,1280x720@24 / 1280x720@24,42.92,8,130.43,1632821424.1829112,False,0,1632821286.8049903,28500,0,42.72
1280x720 / 0 dropped of 3144Current /,1280x720@24 / 1280x720@24,42.42,8,130.92,1632821424.6884468,False,0,1632821286.8049903,28500,0,42.22
1280x720 / 0 dropped of 3155Current /,1280x720@24 / 1280x720@24,41.92,8,131.42,1632821425.1956832,False,0,1632821286.8049903,28500,0,41.72
1280x720 / 0 dropped of 3167Current /,1280x720@24 / 1280x720@24,41.41,8,131.92,1632821425.701369,False,0,1632821286.8049903,28500,0,41.22
1280x720 / 0 dropped of 3179Current /,1280x720@24 / 1280x720@24,40.91,8,132.43,1632821426.2087917,False,0,1632821286.8049903,28500,0,40.71
1280x720 / 0 dropped of 3191Current /,1280x720@24 / 1280x720@24,40.41,8,132.93,1632821426.7151601,False,0,1632821286.8049903,28500,0,40.2
1280x720 / 0 dropped of 3203Current /,1280x720@24 / 1280x720@24,39.91,8,133.43,1632821427.2205126,False,0,1632821286.8049903,28500,0,39.7
1280x720 / 0 dropped of 3216Current /,1280x720@24 / 1280x720@24,39.41,8,133.92,1632821427.733294,False,0,1632821286.8049903,28500,0,39.19
1280x720 / 0 dropped of 3227Current /,1280x720@24 / 1280x720@24,38.92,8,134.41,1632821428.233483,False,0,1632821286.8049903,28500,0,38.69
1280x720 / 0 dropped of 3239Current /,1280x720@24 / 1280x720@24,38.42,8,134.91,1632821428.7463803,False,0,1632821286.8049903,28500,0,38.19
1280x720 / 0 dropped of 3251Current /,1280x720@24 / 1280x720@24,37.93,8,135.41,1632821429.247831,False,0,1632821286.8049903,28500,0,37.67
1280x720 / 0 dropped of 3263Current /,1280x720@24 / 1280x720@24,37.43,8,135.9,1632821429.7548,False,0,1632821286.8049903,28500,0,37.17
1280x720 / 0 dropped of 3275Current /,1280x720@24 / 1280x720@24,36.93,8,136.4,1632821430.2615283,False,0,1632821286.8049903,28500,0,36.67
1280x720 / 0 dropped of 3287Current /,1280x720@24 / 1280x720@24,36.43,8,136.9,1632821430.7686546,False,0,1632821286.8049903,28500,0,36.17
1280x720 / 0 dropped of 3299Current /,1280x720@24 / 1280x720@24,35.93,8,137.4,1632821431.275333,False,0,1632821286.8049903,28500,0,35.67
1280x720 / 0 dropped of 3311Current /,1280x720@24 / 1280x720@24,35.43,8,137.9,1632821431.7826424,False,0,1632821286.8049903,28500,0,35.17
1280x720 / 0 dropped of 3323Current /,1280x720@24 / 1280x720@24,34.94,8,138.4,1632821432.2895105,False,0,1632821286.8049903,28500,0,34.66
1280x720 / 0 dropped of 3335Current /,1280x720@24 / 1280x720@24,34.44,8,138.9,1632821432.7976792,False,0,1632821286.8049903,28500,0,34.16
1280x720 / 0 dropped of 3347Current /,1280x720@24 / 1280x720@24,33.94,8,139.4,1632821433.30722,False,0,1632821286.8049903,28500,0,33.66
1280x720 / 0 dropped of 3359Current /,1280x720@24 / 1280x720@24,33.44,8,139.9,1632821433.808949,False,0,1632821286.8049903,28500,0,33.16
1280x720 / 0 dropped of 3371Current /,1280x720@24 / 1280x720@24,32.94,8,140.4,1632821434.3166234,False,0,1632821286.8049903,28500,0,32.66
1280x720 / 0 dropped of 3383Current /,1280x720@24 / 1280x720@24,32.44,8,140.9,1632821434.8261945,False,0,1632821286.8049903,28500,0,32.16
1280x720 / 0 dropped of 3395Current /,1280x720@24 / 1280x720@24,31.93,8,141.4,1632821435.3326888,False,0,1632821286.8049903,28500,0,31.66
1280x720 / 0 dropped of 3407Current /,1280x720@24 / 1280x720@24,31.43,8,141.9,1632821435.838421,False,0,1632821286.8049903,28500,0,31.16
1280x720 / 0 dropped of 3419Current /,1280x720@24 / 1280x720@24,30.93,8,142.4,1632821436.3448446,False,0,1632821286.8049903,28500,0,30.66
1280x720 / 0 dropped of 3431Current /,1280x720@24 / 1280x720@24,30.43,8,142.9,1632821436.8523943,False,0,1632821286.8049903,28500,0,30.16
1280x720 / 0 dropped of 3443Current /,1280x720@24 / 1280x720@24,29.93,8,143.4,1632821437.3605022,False,0,1632821286.8049903,28500,0,29.64
1280x720 / 0 dropped of 3455Current /,1280x720@24 / 1280x720@24,29.43,8,143.9,1632821437.8670685,False,0,1632821286.8049903,28500,0,29.12
1280x720 / 0 dropped of 3467Current /,1280x720@24 / 1280x720@24,28.93,8,144.4,1632821438.385567,False,0,1632821286.8049903,28500,0,28.62
1280x720 / 0 dropped of 3479Current /,1280x720@24 / 1280x720@24,28.43,8,144.9,1632821438.8799143,False,0,1632821286.8049903,28500,0,28.11
1280x720 / 0 dropped of 3491Current /,1280x720@24 / 1280x720@24,27.93,8,145.4,1632821439.3859859,False,0,1632821286.8049903,28500,0,27.83
1280x720 / 0 dropped of 3502Current /,1280x720@24 / 1280x720@24,27.44,8,145.89,1632821439.8929973,False,0,1632821286.8049903,28500,0,27.32
1280x720 / 0 dropped of 3514Current /,1280x720@24 / 1280x720@24,26.94,8,146.39,1632821440.4008422,False,0,1632821286.8049903,28500,0,26.82
1280x720 / 0 dropped of 3527Current /,1280x720@24 / 1280x720@24,26.44,8,146.89,1632821440.9133403,False,0,1632821286.8049903,28500,0,26.31
1280x720 / 0 dropped of 3539Current /,1280x720@24 / 1280x720@24,25.94,8,147.39,1632821441.4142785,False,0,1632821286.8049903,28500,0,25.81
1280x720 / 0 dropped of 3550Current /,1280x720@24 / 1280x720@24,25.45,8,147.89,1632821441.932903,False,0,1632821286.8049903,28500,0,25.31
1280x720 / 0 dropped of 3562Current /,1280x720@24 / 1280x720@24,24.95,8,148.39,1632821442.4329476,False,0,1632821286.8049903,28500,0,24.79
1280x720 / 0 dropped of 3574Current /,1280x720@24 / 1280x720@24,24.45,8,148.88,1632821442.9318192,False,0,1632821286.8049903,28500,0,24.29
1280x720 / 0 dropped of 3586Current /,1280x720@24 / 1280x720@24,23.95,8,149.38,1632821443.4389935,False,0,1632821286.8049903,28500,0,23.79
1280x720 / 0 dropped of 3598Current /,1280x720@24 / 1280x720@24,23.45,8,149.88,1632821443.9463077,False,0,1632821286.8049903,28500,0,23.29
1280x720 / 0 dropped of 3610Current /,1280x720@24 / 1280x720@24,22.95,8,150.37,1632821444.4514632,False,0,1632821286.8049903,28500,0,22.79
1280x720 / 0 dropped of 3622Current /,1280x720@24 / 1280x720@24,22.46,8,150.87,1632821444.9578888,False,0,1632821286.8049903,28500,0,22.28
1280x720 / 0 dropped of 3634Current /,1280x720@24 / 1280x720@24,21.96,8,151.37,1632821445.4662085,False,0,1632821286.8049903,28500,0,21.76
1280x720 / 0 dropped of 3646Current /,1280x720@24 / 1280x720@24,21.46,8,151.87,1632821445.969812,False,0,1632821286.8049903,28500,0,21.24
1280x720 / 0 dropped of 3658Current /,1280x720@24 / 1280x720@24,20.96,8,152.37,1632821446.479757,False,0,1632821286.8049903,28500,0,20.74
1280x720 / 0 dropped of 3670Current /,1280x720@24 / 1280x720@24,20.46,8,152.87,1632821446.9869828,False,0,1632821286.8049903,28500,0,20.24
1280x720 / 0 dropped of 3682Current /,1280x720@24 / 1280x720@24,19.96,8,153.39,1632821447.5012467,False,0,1632821286.8049903,28500,0,19.74
1280x720 / 0 dropped of 3694Current /,1280x720@24 / 1280x720@24,19.46,8,153.89,1632821448.0022905,False,0,1632821286.8049903,28500,0,19.24
1280x720 / 0 dropped of 3706Current /,1280x720@24 / 1280x720@24,18.96,8,154.39,1632821448.5081902,False,0,1632821286.8049903,28500,0,18.73
1280x720 / 0 dropped of 3718Current /,1280x720@24 / 1280x720@24,18.46,8,154.9,1632821449.0156107,False,0,1632821286.8049903,28500,0,18.23
1280x720 / 0 dropped of 3730Current /,1280x720@24 / 1280x720@24,17.95,8,155.4,1632821449.5230892,False,0,1632821286.8049903,28500,0,17.73
1280x720 / 0 dropped of 3742Current /,1280x720@24 / 1280x720@24,17.45,8,155.9,1632821450.0381484,False,0,1632821286.8049903,28500,0,17.23
1280x720 / 0 dropped of 3754Current /,1280x720@24 / 1280x720@24,16.95,8,156.4,1632821450.5350711,False,0,1632821286.8049903,28500,0,16.73
1280x720 / 0 dropped of 3766Current /,1280x720@24 / 1280x720@24,16.45,8,156.9,1632821451.0426788,False,0,1632821286.8049903,28500,0,16.23
1280x720 / 0 dropped of 3778Current /,1280x720@24 / 1280x720@24,15.95,8,157.4,1632821451.5485625,False,0,1632821286.8049903,28500,0,15.73
1280x720 / 0 dropped of 3790Current /,1280x720@24 / 1280x720@24,15.45,8,157.9,1632821452.0483203,False,0,1632821286.8049903,28500,0,15.22
1280x720 / 0 dropped of 3802Current /,1280x720@24 / 1280x720@24,14.95,8,158.4,1632821452.5680718,False,0,1632821286.8049903,28500,0,14.72
1280x720 / 0 dropped of 3815Current /,1280x720@24 / 1280x720@24,14.45,8,158.9,1632821453.0658484,False,0,1632821286.8049903,28500,0,14.22
1280x720 / 0 dropped of 3827Current /,1280x720@24 / 1280x720@24,13.95,8,159.4,1632821453.573333,False,0,1632821286.8049903,28500,0,13.72
1280x720 / 0 dropped of 3838Current /,1280x720@24 / 1280x720@24,13.45,8,159.9,1632821454.0791736,False,0,1632821286.8049903,28500,0,13.22
1280x720 / 0 dropped of 3850Current /,1280x720@24 / 1280x720@24,12.95,8,160.4,1632821454.5855942,False,0,1632821286.8049903,28500,0,12.72
1280x720 / 0 dropped of 3862Current /,1280x720@24 / 1280x720@24,12.45,8,160.9,1632821455.0915756,False,0,1632821286.8049903,28500,0,12.22
1280x720 / 0 dropped of 3874Current /,1280x720@24 / 1280x720@24,11.95,8,161.39,1632821455.5980158,False,0,1632821286.8049903,28500,0,11.72
1280x720 / 0 dropped of 3886Current /,1280x720@24 / 1280x720@24,11.45,8,161.89,1632821456.1060336,False,0,1632821286.8049903,28500,0,11.22
1280x720 / 0 dropped of 3898Current /,1280x720@24 / 1280x720@24,10.96,8,162.39,1632821456.6117857,False,0,1632821286.8049903,28500,0,10.72
